predicted_pt,predicted_radius,ground_truth_pt,ground_truth_radius
24.7358693710878,21.7277006726241,24.9458693710878,20.8258693710878
24.1258693710878,19.4658693710878,24.0863283445728,19.5383693710878
18.0658693710878,16.7758693710878,18.4571193710878,17.6871193710878
25.4758693710878,24.4458693710878,26.0511818710878,24.1886818710878
18.4758693710878,17.7858693710878,18.3771974960878,17.7714357773378
13.6332689521316,13.6532689521316,NaN,NaN
14.4832689521316,14.4732689521316,NaN,NaN
13.8232689521316,13.7932689521316,NaN,NaN
14.1232689521316,14.1432689521316,NaN,NaN
13.4732689521316,13.4432689521316,NaN,NaN
19.9011805890433,20.1789366903233,18.3889366903233,17.9489366903233
20.2989366903233,18.9989366903233,20.8014366903233,19.3945384262363
30.1089366903233,28.8589366903233,NaN,NaN
21.3689366903233,22.7689366903233,NaN,NaN
25.2389366903233,20.773422207625,25.5443273153233,22.0675217066007
28.1666144558127,27.3966144558127,28.5066144558127,27.4166144558127
20.203712940288,20.103712940288,19.973712940288,19.933712940288
14.2692468977856,13.7792468977856,14.3492468977856,13.8392468977856
13.7775820968859,13.4775820968859,13.8975820968859,13.5375820968859
18.5337207341307,18.3837207341307,19.5037207341307,19.4137207341307
15.5485304202397,14.8385304202398,14.5885304202398,14.4585304202398
15.0925406392065,14.9925406392065,15.1825406392065,15.1425406392065
16.4298180091709,16.2798180091709,16.6598180091709,16.5398180091709
17.9128333333333,17.5728333333333,17.9228333333333,17.5928333333333
13.9482083333333,13.7782083333333,14.1882083333333,14.0182083333333
15.2566666666667,15.4566666666667,16.8166666666667,16.5066666666667
21.1997196969697,21.1697196969697,21.1597196969697,21.1197196969697
23.4891136363636,23.4591136363636,23.4291136363636,23.4191136363636
18.3752595925086,18.3452595925086,17.9752595925086,18.0652595925087
22.0617074327143,19.2017074327143,19.0417074327143,19.7367074327143
15.9250488166514,15.9150488166514,16.3650488166514,16.1750488166514
25.5983761007565,24.4483761007566,27.0683761007566,25.1583761007565
22.1399231246265,22.2599231246265,24.6399231246265,22.8799231246265
20.51693112731,19.24693112731,21.22693112731,20.10193112731
22.1678458280581,19.5733815396467,21.9678458280581,19.8317799730792
14.2690594456418,14.2590594456418,20.3890594456418,15.4279908612376
18.6543306517635,16.9843306517635,24.1143306517635,18.3146089652834
26.0651981519862,24.2751981519862,26.4451981519862,24.3151981519862
23.4451975673447,22.1089418604506,26.1851975673447,21.6697628366262
27.6643362882536,19.5686875745065,27.6643362882536,21.4406653696627
25.6722915501835,27.3049830492945,29.8749830492945,27.8955502331987
22.7691068810702,21.0532629427431,25.1491068810702,23.578546859203
23.1983722515135,22.5783722515135,23.4483722515135,23.1483722515135
20.0983722515135,19.3533722515136,20.0658722515135,19.4058722515135
21.1583722515136,21.1383722515135,21.2883722515135,21.1783722515136
21.0283722515136,20.9483722515135,21.0996222515135,21.1319660015135
22.4083722515136,21.8583722515136,22.2180988140135,21.765324755972
15.0871738230487,13.3677864655036,17.0177864655036,13.8327864655036
8.86778646550362,8.4677864655036,9.01528646550363,8.67778646550361
13.1577864655036,12.5277864655036,13.4702864655036,12.4040364655036
13.2377864655036,13.1477864655036,13.2343489655036,13.1110677155036
11.4277864655036,11.1377864655036,11.5779427155036,11.1398958405036
18.3594320839111,18.2894320839111,18.3194320839111,18.4094320839111
18.9994320839111,19.2194320839111,NaN,NaN
18.8394320839111,18.7994320839111,NaN,NaN
22.1794320839111,21.2594320839111,NaN,NaN
24.6694320839111,25.5494320839111,NaN,NaN
32.2560747155571,31.0460747155571,32.3860747155571,31.5960747155571
28.7960747155571,24.9860747155571,29.1960747155571,24.8248247155571
23.0160747155571,22.8860747155571,NaN,NaN
27.1460747155571,27.4260747155571,NaN,NaN
28.7660747155571,26.3660747155571,30.8558012780571,25.9966997155571
23.7216477430395,23.5916477430395,23.5716477430395,23.5616477430396
23.3016477430396,21.6016477430395,23.6991477430395,22.6841477430395
19.6678686929091,19.7178686929091,19.7178686929091,19.7678686929091
23.0295350050569,22.9795350050569,23.0395350050569,22.9795350050569
14.8438992658115,14.3838992658115,14.8438992658115,14.3838992658115
19.6678686929091,19.7178686929091,19.6678686929091,19.7178686929091
17.7980877883962,17.5280877883962,18.5280877883962,18.1880877883962
15.6608574082588,15.6408574082588,16.9108574082588,16.8108574082588
14.2692468977856,13.7792468977856,14.3592468977856,13.8192468977856
13.9267857449711,13.7367857449711,14.0367857449711,13.5567857449711
25.2896958904741,22.6496958904741,25.4096958904741,22.6496958904741
5.85331748822014,3.90331748822015,5.03331748822016,3.96331748822017
13.4629703506346,13.4029703506346,NaN,NaN
22.9421064989053,22.5221064989053,23.0121064989053,22.5421064989053
15.367897672788,15.247897672788,15.577897672788,15.387897672788
14.5122634463622,14.4522634463622,14.7622634463622,14.6622634463622
20.9892339312774,20.8892339312775,21.0092339312774,20.9492339312774
15.2560037878788,14.7360037878788,15.2660037878788,14.7460037878788
14.0834924242424,13.9334924242424,14.1534924242424,13.9634924242424
28.9020369324268,26.2670369324268,24.8220369324268,25.0720369324268
28.9020369324268,26.2670369324268,24.7420369324268,25.0120369324268
16.0776269830532,15.1076269830532,18.1676269830532,15.4076269830532
18.4794333936564,18.4994333936564,18.2694333936565,18.2994333936565
18.4755125180743,18.4855125180743,18.8155125180743,18.5755125180743
24.6662080829016,22.4962080829016,24.3462080829016,22.6462080829016
